"id_no"|"order_"|"family"|"genus"|"binomial"|"endemic"|"v_range_sqkm"|"r_range_sqkm"|"aoh_92_sqkm"|"aoh_22_sqkm"|"aoh_perc_range"|"aoh_gain_loss_perc"|"ecosystems"|"category"|"threatened"|"habitats"
1916|"Rodentia"|"Muridae"|"Apomys"|"Apomys sacobianus"|True|951.6767817415516|951.6769708357483|571.144656025298|566.7380222292547|59.55151165752744|-0.0077154425758087924|"{terrestrial}"|"LC"|NULL|"{14.6,1.6}"
1917|"Rodentia"|"Muridae"|"Apomys"|"Apomys gracilirostris"|True|571.6248666026501|571.6251068383759|219.824353235966|214.089635589535|37.45280482406588|-0.02608772668729373|"{terrestrial}"|"LC"|NULL|"{1.9}"
1933|"Chiroptera"|"Pteropodidae"|"Aproteles"|"Aproteles bulmerae"|True|48.24263076999433|48.242642429182006|48.242642429182006|48.242642429182006|100.0|0.0|"{terrestrial}"|"CR"|True|"{14.4,1.9,7.1}"
2017|"Rodentia"|"Cricetidae"|"Arborimus"|"Arborimus albipes"|True|77761.71228273852|77761.86438743444|59147.55589080204|57129.87415795631|73.46772689671769|-0.03411268145332612|"{terrestrial}"|"LC"|NULL|"{1.4,5.1}"
2018|"Rodentia"|"Cricetidae"|"Arborimus"|"Arborimus pomo"|True|22004.422419289298|22004.43066696659|17646.670405290566|17186.8121172689|78.10614315538744|-0.026059209893997865|"{terrestrial}"|"NT"|NULL|"{1.4}"
2045|"Rodentia"|"Muridae"|"Archboldomys"|"Archboldomys luzonensis"|True|22.074383964253723|22.074486550688|17.456368843969997|12.191911785636|55.23078309269219|-0.3015780146139908|"{terrestrial}"|"VU"|True|"{1.9}"
2053|"Primates"|"Lorisidae"|"Arctocebus"|"Arctocebus aureus"|NULL|667477.8369143038|667477.8501656209|546706.667272623|540965.0579097241|81.04614374476917|-0.010502175493015967|"{terrestrial}"|"LC"|NULL|"{1.6}"
2054|"Primates"|"Lorisidae"|"Arctocebus"|"Arctocebus calabarensis"|NULL|148437.94453116265|148437.9362099966|93669.30318246731|99155.23655067779|66.79912095409485|0.058567035109932525|"{terrestrial}"|"NT"|NULL|"{14.6,1.5,1.6}"
2055|"Carnivora"|"Otariidae"|"Arctocephalus"|"Arctocephalus australis"|NULL|1900120.374360726|1900110.0776763714|1882379.4208459114|1882344.4512498383|99.0650211987582|-1.8577336580377957e-05|"{marine,terrestrial}"|"LC"|NULL|"{10.1,10.2,12.1,13.1,9.1}"
2057|"Carnivora"|"Otariidae"|"Arctocephalus"|"Arctocephalus galapagoensis"|True|106232.75355174943|106232.74647198751|106110.6155692911|106104.25252395368|99.87904487806148|-5.9966152333417115e-05|"{marine,terrestrial}"|"EN"|True|"{10.1,12.1,13.1,9.1}"
2058|"Carnivora"|"Otariidae"|"Arctocephalus"|"Arctocephalus gazella"|NULL|17528721.312758766|17528677.751354333|17526057.651307445|17526057.651307445|99.98505249463734|0.0|"{marine,terrestrial}"|"LC"|NULL|"{10.1,12.1,13.1,9.1}"
2059|"Carnivora"|"Otariidae"|"Arctocephalus"|"Arctocephalus philippii"|NULL|3789718.39674886|3789715.330809341|3789082.196187708|3789079.212822944|99.98321462350415|-7.873581542086815e-07|"{marine,terrestrial}"|"LC"|NULL|"{10.1,12.1,13.1,9.1,9.2}"
2060|"Carnivora"|"Otariidae"|"Arctocephalus"|"Arctocephalus pusillus"|NULL|1100669.6832304436|1100668.5565234164|1098718.133699164|1098702.7491881137|99.8213987922475|-1.400223640480563e-05|"{marine,terrestrial}"|"LC"|NULL|"{10.1,12.1,13.1,9.1}"
2061|"Carnivora"|"Otariidae"|"Arctocephalus"|"Arctocephalus townsendi"|NULL|1298442.4830828398|1298446.1280830672|1296609.116797133|1296600.2656684704|99.85784066241378|-6.826366210170958e-06|"{marine,terrestrial}"|"LC"|NULL|"{10.1,12.1,13.1,13.2,9.1,9.2}"
2062|"Carnivora"|"Otariidae"|"Arctocephalus"|"Arctocephalus tropicalis"|NULL|13411061.15501336|13411056.040155027|13410690.941341538|13410690.941341538|99.99727762815698|0.0|"{marine,terrestrial}"|"LC"|NULL|"{10.1,12.1,13.1,9.1}"
2089|"Chiroptera"|"Phyllostomidae"|"Ardops"|"Ardops nichollsi"|NULL|4744.229733189072|4744.230921475285|3110.1394706804936|2819.923173545206|59.438994859641255|-0.09331295264124888|"{terrestrial}"|"LC"|NULL|"{14.3,1.6}"
2110|"Chiroptera"|"Phyllostomidae"|"Ariteus"|"Ariteus flavescens"|True|11021.248191608707|11021.256493853745|5550.992408319638|4478.69022251803|40.63683868545908|-0.19317305932439724|"{terrestrial}"|"LC"|NULL|"{14.3,1.6}"
2121|"Chiroptera"|"Phyllostomidae"|"Artibeus"|"Artibeus amplus"|NULL|1459808.7886647093|1459808.9571213888|806578.1098696328|793298.5494236117|54.342627886591735|-0.016464072460592078|"{terrestrial}"|"LC"|NULL|"{1.5,1.6,1.9}"
2122|"Chiroptera"|"Phyllostomidae"|"Dermanura"|"Dermanura anderseni"|NULL|4071914.9619105794|4071913.563973654|3644016.3653204017|3564197.028813756|87.5312546009834|-0.02190422009798727|"{terrestrial}"|"LC"|NULL|"{14.3,14.4,1.5,1.6,1.9}"
2123|"Chiroptera"|"Phyllostomidae"|"Dermanura"|"Dermanura azteca"|NULL|606566.0642371061|606566.0593161975|343598.81437481625|336496.6973850613|55.47568846242492|-0.02066979480903441|"{terrestrial}"|"LC"|NULL|"{1.4,14.3,1.5}"
2124|"Chiroptera"|"Phyllostomidae"|"Dermanura"|"Dermanura cinerea"|NULL|4321786.13734531|4321785.304748299|2487386.9998178296|2483178.2010021126|57.45723181283141|-0.001692056288798338|"{terrestrial}"|"LC"|NULL|"{14.3,14.4,1.5,1.6,1.9,2.2}"
2125|"Chiroptera"|"Phyllostomidae"|"Artibeus"|"Artibeus concolor"|NULL|6437511.289465645|6437509.63892259|4778173.276452388|4567165.072787414|70.946147329603|-0.044160852161820086|"{terrestrial}"|"LC"|NULL|"{1.5,1.6}"
2126|"Chiroptera"|"Phyllostomidae"|"Artibeus"|"Artibeus fimbriatus"|NULL|1483919.2020900939|1483918.8413993078|30634.520341353586|23015.002542446604|1.5509610027421639|-0.24872326101418937|"{terrestrial}"|"LC"|NULL|"{1.5}"
2127|"Chiroptera"|"Phyllostomidae"|"Artibeus"|"Artibeus fraterculus"|NULL|302099.05957155343|302099.0565785517|2130.3004605206334|3162.2300000861555|1.0467526896310957|0.48440563136024695|"{terrestrial}"|"LC"|NULL|"{14.3,1.5}"
2129|"Chiroptera"|"Phyllostomidae"|"Dermanura"|"Dermanura gnoma"|NULL|10007853.154369213|10007850.293593008|7004478.443225983|6854777.395763562|68.4940041534391|-0.021372190474395154|"{terrestrial}"|"LC"|NULL|"{14.3,14.4,1.5,1.6,1.9}"
2130|"Chiroptera"|"Phyllostomidae"|"Enchisthenes"|"Enchisthenes hartii"|NULL|3104216.287010646|3104216.421874108|1692204.935083056|1674122.2992369025|53.930592191964024|-0.010685842755367023|"{terrestrial}"|"LC"|NULL|"{1.6,1.9}"
2131|"Chiroptera"|"Phyllostomidae"|"Artibeus"|"Artibeus hirsutus"|True|228803.27484777634|228803.27642686095|121697.16279784188|119679.54399762437|52.30674397089808|-0.016579012639506646|"{terrestrial}"|"LC"|NULL|"{14.3,14.5,1.5,1.6,7.1}"
